,ds,trend,trend_lower,trend_upper
611,2023-05-10 02:30:00,0.3143994461556887,0.3143994461556887,0.3143994461556887
612,2023-05-10 02:35:00,0.31439929410979456,0.31439929410979456,0.31439929410979456
613,2023-05-10 02:40:00,0.31439914206390046,0.31439914206390046,0.31439914206390046
614,2023-05-10 02:45:00,0.3143989900180063,0.3143989900180063,0.3143989900180063
615,2023-05-10 02:50:00,0.31439883797211227,0.31439883797211227,0.31439883797211227
616,2023-05-10 02:55:00,0.31439868592621817,0.31439868592621817,0.31439868592621817
617,2023-05-10 03:00:00,0.314398533880324,0.314398533880324,0.314398533880324
618,2023-05-10 03:05:00,0.3143983818344299,0.3143983818344299,0.3143983818344299
619,2023-05-10 03:10:00,0.3143982298127513,0.3143982298127513,0.3143982298127513
620,2023-05-10 03:15:00,0.31439807779107265,0.31439807779107265,0.31439807779107265
621,2023-05-10 03:20:00,0.31439792576939407,0.31439792576939407,0.31439792576939407
622,2023-05-10 03:25:00,0.3143977737477154,0.3143977737477154,0.3143977737477154
623,2023-05-10 03:30:00,0.3143976217260368,0.3143976217260368,0.3143976217260368
624,2023-05-10 03:35:00,0.31439746970435817,0.31439746970435817,0.31439746970435817
625,2023-05-10 03:40:00,0.31439731768267953,0.31439731768267953,0.31439731768267953
626,2023-05-10 03:45:00,0.3143971656610009,0.3143971656610009,0.3143971656610009
627,2023-05-10 03:50:00,0.31439701363932226,0.31439701363932226,0.31439701363932226
628,2023-05-10 03:55:00,0.3143968616176437,0.3143968616176437,0.3143968616176437
629,2023-05-10 04:00:00,0.314396709595965,0.314396709595965,0.314396709595965
630,2023-05-10 04:05:00,0.3143965575742864,0.3143965575742864,0.3143965575742864
631,2023-05-10 04:10:00,0.3143964055526078,0.3143964055526078,0.3143964055526078
632,2023-05-10 04:15:00,0.31439625353092915,0.31439625353092915,0.31439625353092915
633,2023-05-10 04:20:00,0.31439610150925057,0.31439610150925057,0.31439610150925057
634,2023-05-10 04:25:00,0.3143959494875719,0.3143959494875719,0.3143959494875719
635,2023-05-10 04:30:00,0.3143957974658933,0.3143957974658933,0.3143957974658933
636,2023-05-10 04:35:00,0.3143956454442146,0.3143956454442146,0.3143956454442146
637,2023-05-10 04:40:00,0.31439549342253603,0.31439549342253603,0.31439549342253603
638,2023-05-10 04:45:00,0.31439534140085734,0.31439534140085734,0.31439534140085734
639,2023-05-10 04:50:00,0.31439518937917876,0.31439518937917876,0.31439518937917876
640,2023-05-10 04:55:00,0.3143950373575002,0.3143950373575002,0.3143950373575002
641,2023-05-10 05:00:00,0.3143948853358215,0.3143948853358215,0.3143948853358215
642,2023-05-10 05:05:00,0.3143947333141429,0.3143947333141429,0.3143947333141429
643,2023-05-10 05:10:00,0.3143945812924642,0.3143945812924642,0.3143945812924642
644,2023-05-10 05:15:00,0.31439442927078565,0.31439442927078565,0.31439442927078565
645,2023-05-10 05:20:00,0.314394277249107,0.314394277249107,0.314394277249107
646,2023-05-10 05:25:00,0.3143941252274284,0.3143941252274284,0.3143941252274284
647,2023-05-10 05:30:00,0.3143939732057498,0.3143939732057498,0.3143939732057498
648,2023-05-10 05:35:00,0.3143938211840711,0.3143938211840711,0.3143938211840711
649,2023-05-10 05:40:00,0.31439366916239253,0.31439366916239253,0.31439366916239253
650,2023-05-10 05:45:00,0.31439351714071384,0.31439351714071384,0.31439351714071384
